time,cumate,od,fluorescence,phi,growth_rate,production_rate,od_se,fluorescence_se,phi_se,growth_rate_se,production_rate_se
13.12861111,250,0.3021,97.33333333,335.9118066,0.060932237,117.2648041,0.022126179,0.707106781,24.00127983,0.029319179,51.62308854
13.41416667,250,0.302266667,98,337.3376627,0.056887351,174.1921284,0.021956605,0.687184271,23.12677812,0.022757477,63.73840361
13.69944444,250,0.303322222,98.33333333,337.4373793,0.107266652,224.0934594,0.022048229,0.600925213,23.29001272,0.037673159,78.58797815
13.98472222,250,0.3034,99.11111111,340.5762133,0.127383547,241.5782604,0.022268594,0.75359222,24.24201519,0.046078691,83.65630655
14.27027778,250,0.302944444,99.33333333,341.7898816,0.154202468,242.627684,0.02218674,0.763762616,24.29468675,0.046181325,82.28085566
14.55555556,250,0.302266667,100.2222222,345.2619167,0.16081594,225.7082906,0.022115166,0.741203559,23.89246603,0.044536865,89.77540975
0,500,0.089066667,9,101.6005596,0.561429207,1292.491961,0.001899415,0.166666667,3.583996727,0.115885512,232.9728557
0.285555556,500,0.094544444,15.22222222,161.2278578,0.539502158,1168.692181,0.002267592,0.43390276,4.059802022,0.071277601,134.5100302
0.571111111,500,0.1003,33.66666667,331.2606572,0.469295876,961.609971,0.002181424,3.796928583,31.74300621,0.088735355,242.1791744
0.856388889,500,0.111422222,66.11111111,579.6985545,0.459329854,606.5503777,0.003179569,8.622394042,62.89034621,0.073566482,326.0368599
1.141944444,500,0.1267,104.6666667,803.9430134,0.436549193,336.7351932,0.004660323,13.6544661,82.67862235,0.113685811,391.7541354
1.427222222,500,0.146322222,149,986.8678955,0.343624049,85.30108888,0.007780724,19.12894839,87.23380955,0.087981142,324.1187842
1.712777778,500,0.167666667,205.3333333,1192.992676,0.293666887,-121.3222595,0.010798392,24.45631025,82.69606675,0.100730115,239.5819748
1.998055556,500,0.192655556,252.7777778,1286.009064,0.182102514,-284.8552587,0.014189904,29.83229876,85.91397243,0.062759645,151.0519832
2.283611111,500,0.218533333,292.1111111,1324.159757,0.075575297,-406.8152059,0.017287632,33.1714588,87.67201008,0.028193338,68.21665968
2.568888889,500,0.235311111,313.7777778,1331.509551,0.043999235,-415.282171,0.018701949,34.63571446,90.79539306,0.022232294,27.00191193
2.854166667,500,0.2442,314.8888889,1294.22958,0.064632927,-389.6161648,0.018244284,34.48286388,98.06963016,0.025749449,28.98394341
3.139722222,500,0.251422222,296.3333333,1194.69911,0.070350371,-341.9684758,0.018071454,33.08742628,107.6081475,0.018856999,37.68209715
3.425,500,0.257255556,265.6666667,1053.780694,0.067188755,-262.7161336,0.018609452,30.31134734,102.384515,0.029297682,37.23814678
3.710555556,500,0.261822222,226.5555556,896.3964563,0.084254075,-187.8613726,0.019185815,25.34819252,97.63001132,0.024513251,26.81422877
3.995833333,500,0.268344444,191.2222222,750.9476994,0.04285129,-132.785852,0.020574182,20.8265174,89.73445599,0.017248365,20.44469119
4.281388889,500,0.274844444,161.6666667,625.3667331,0.070618443,-76.25715461,0.020982937,16.62578319,77.6766777,0.017954618,16.33271227
4.566666667,500,0.2788,136.7777778,527.1856884,0.040130852,-53.99538517,0.022027155,12.9054013,67.16640888,0.00852202,9.384233499
4.851944444,500,0.280066667,118.1111111,453.8142221,0.040426797,-29.06509341,0.021953328,9.731741372,56.25620781,0.007715464,7.911396536
5.1375,500,0.282933333,104.7777778,397.4641186,0.039067296,-15.85400884,0.021598515,7.125419632,46.87908402,0.007716277,9.527057129
5.422777778,500,0.287,94.77777778,352.7099719,0.037838792,-5.919515748,0.021225326,5.314492183,39.22322683,0.008019182,5.546070198
5.708333333,500,0.290244444,88.55555556,325.8338274,0.026320622,5.936887101,0.021671205,3.940921745,35.13299167,0.006974138,6.249071451
5.993611111,500,0.292722222,85.44444444,310.4231868,0.046667681,8.030803574,0.021633993,2.892092241,31.51337715,0.011081287,3.429450981
6.279166667,500,0.296088889,82.77777778,296.8674879,0.039919959,14.12019043,0.022199102,2.119864892,28.95383984,0.01761951,3.582266056
6.564444444,500,0.299711111,81.22222222,286.5662654,0.020468615,5.498566118,0.022144823,1.613982116,26.48406988,0.011162313,4.453443912
